"Country","Date","Epi_week","Budget_COVID","Budget_total","Indicator_1","Intervetnion_funding","Intervetnion_funding_total","Indicator_2","ESGI_workforce","ESGI_status","Indicator_3","ESGI_national_staff","Indicator_4","ESGI_country_staff","Indicator_5","ESGI_support","ESGI_virtual_training","Weekly_meeting_reps_authorities","Meeting_reps_head","Travelers_tested_total","Travelers_positive","Indicator_6","Travelers_quarentined","Travelers_tracked","Travelers_positive_surveillance","entry_points_COVID","entry_points_total","Indicator_7","Indicator_8","Borders_reopened","Borders_reopened_land_date","Borders_reopened_air_date","Borders_reopened_maritime_date","Cum_num_confirmed_cases","New_cases_confirmed_total","New_cases_confirmed_known_contacts","Indicator_9","New_cases_reported_total","Reported_cases_investigated_24h","Indicator_10","Cum_num_contacts","Contacts_followed_7days","Contacts_followed_total","Contacts_reviewed_24h","Indicator_11","Samples_COVID_48h","Lab_results_communicated","Indicator_12","Cum_num_tests_prev_week","Cum_num_tests_curr_week","Indicator_13","Screening_labs","New_tests_curr_week_total","New_tests_curr_week_decentralized","Indicator_14","COVID_treatment_centres","Total_beds_reserved_suspected","Total_beds_occupied_suspected","Indicator_15","COVID_treatment_centres_subnational","Indicator_16","Total_beds_reserved_confirmed","Total_beds_occupied_confirmed","Indicator_17","Total_beds_reserved_severe","Total_beds_occupied_severe","Indicator_18","Cum_num_deaths","Indicator_19","Cum_num_confirmed_cases_healthcare_worker","Indicator_20","Confirmed_cases_healthcare_7day","Indicator_21","Total_districts","Total_districts_1case","Total_districts_1case_7day","Indicator_22","Deaths_confirmed_cases_7day","Indicator_23","Confirmed_cases_isolation_within1day_7day","Indicator_24","Healthcare_worker_total","Healthcare_worker_COVID_trained","Indicator_25","Indicator_26","RCCE_outreach_percent","Public_transport_percent_means","Masks_total_percent","Masks_correct_percent","Hand_hygiene_percent","Primare_care_consultations_month","Primare_care_consultations_month_2019","Indicator_27","Infant_survival_d_t_p_month","Infant_survival_d_t_p_month_2019","Indicator_28","Outpatients_month","Outpatients_month_2019","Indicator_29","HIV_treated_month","HIV_treated_month_2019","Indicator_30","Formal_procurment_national","Essential_purhases_monitoring","Indicator_31","Submitted_contaminaion_route","Updated_submitted_tracing","Presentation_COVID","Observation_1","Observation_2","Observation_3","Observation_4","Observation_5","Observation_6","Observation_7","Observation_8","Observation_9","Observation_10","Observation_11","Observation_12","Observation_13","Observation_14","Observation_15","Observation_16","Observation_17","Observation_18","Observation_19","Observation_20","Observation_21","Observation_22","Observation_23","Observation_24","Observation_25","Observation_26","Observation_27","Observation_28","Observation_29","Observation_30","Observation_31","Observation_32","Observation_33","Observation_34","Observation_35","Observation_36","Observation_37","Observation_38","Observation_39","Observation_40","Observation_41","Observation_42","Observation_43"
"GUINEE","2020-09-13","37","59123388.777354494","35779790.421269841","60.517150929911267","3885651","2037226","52.429464200464736","46","114","40.350877192982452","42","91.304347826086953","25","54.347826086956516","8","7","Oui ","Oui ","17","0","0","17","17","0","11","41","26.829268292682929","Yes","Partiellement",NA,"2020-07-17",NA,"10045","229","71","31.004366812227076","229","140","61","1536","1452","1452","1379","95","1131","1131","100","0.65","0.76","16.92307692307692","7","7605","268","3.5239973701512159","17","51","10","19.607843137254903","11","64.705882352941174","1761","500","28.392958546280521","30","24","80","63","0.62717770034843201","501","4.9875559980089603","9","3.9301310043668125","38","34","28","73.68421052631578","2","0.87336244541484709","167","72.925764192139738","7678",NA,"0","Oui ",NA,"10","0.98","0.95","0.8","322065","320913","0.35897579717867462","12838","12792","0.35959974984365228","10185","19363","-47.399679801683625","789","992","-20.463709677419356","Oui","Oui","Non","Oui ","Oui ","Oui ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUINEE","2020-09-13","37","59123388.777354494","35779790.421269841","60.517150929911267","3885651","2037226","52.429464200464736","46","114","40.350877192982452","42","91.304347826086953","25","54.347826086956516","8","7","Oui ","Oui ","17","0","0","17","17","0","11","41","26.829268292682929","Yes","Partiellement",NA,"2020-07-17",NA,"10045","229","71","31.004366812227076","229","140","61","1536","1452","1452","1379","95","1131","1131","100","0.65","0.76","16.92307692307692","7","7605","268","3.5239973701512159","17","51","10","19.607843137254903","11","64.705882352941174","1761","500","28.392958546280521","30","24","80","63","0.62717770034843201","501","4.9875559980089603","9","3.9301310043668125","38","34","28","73.68421052631578","2","0.87336244541484709","167","72.925764192139738","7678",NA,"0","Oui ",NA,"10","0.98","0.95","0.8","322065","320913","0.35897579717867462","12838","12792","0.35959974984365228","10185","19363","-47.399679801683625","789","992","-20.463709677419356","Oui","Oui","Non","Oui ","Oui ","Oui ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUINEE","2020-09-13","37","59123388.777354494","35779790.421269841","60.517150929911267","3885651","2037226","52.429464200464736","46","114","40.350877192982452","42","91.304347826086953","25","54.347826086956516","8","7","Oui ","Oui ","17","0","0","17","17","0","11","41","26.829268292682929","Yes","Partiellement",NA,"2020-07-17",NA,"10045","229","71","31.004366812227076","229","140","61","1536","1452","1452","1379","95","1131","1131","100","0.65","0.76","16.92307692307692","7","7605","268","3.5239973701512159","17","51","10","19.607843137254903","11","64.705882352941174","1761","500","28.392958546280521","30","24","80","63","0.62717770034843201","501","4.9875559980089603","9","3.9301310043668125","38","34","28","73.68421052631578","2","0.87336244541484709","167","72.925764192139738","7678",NA,"0","Oui ",NA,"10","0.98","0.95","0.8","322065","320913","0.35897579717867462","12838","12792","0.35959974984365228","10185","19363","-47.399679801683625","789","992","-20.463709677419356","Oui","Oui","Non","Oui ","Oui ","Oui ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUINEE","2020-09-13","37","59123388.777354494","35779790.421269841","60.517150929911267","3885651","2037226","52.429464200464736","46","114","40.350877192982452","42","91.304347826086953","25","54.347826086956516","8","7","Oui ","Oui ","17","0","0","17","17","0","11","41","26.829268292682929","Yes","Partiellement",NA,"2020-07-17",NA,"10045","229","71","31.004366812227076","229","140","61","1536","1452","1452","1379","95","1131","1131","100","0.65","0.76","16.92307692307692","7","7605","268","3.5239973701512159","17","51","10","19.607843137254903","11","64.705882352941174","1761","500","28.392958546280521","30","24","80","63","0.62717770034843201","501","4.9875559980089603","9","3.9301310043668125","38","34","28","73.68421052631578","2","0.87336244541484709","167","72.925764192139738","7678",NA,"0","Oui ",NA,"10","0.98","0.95","0.8","322065","320913","0.35897579717867462","12838","12792","0.35959974984365228","10185","19363","-47.399679801683625","789","992","-20.463709677419356","Oui","Oui","Non","Oui ","Oui ","Oui ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
